id,review,sentiment,clean_review,token
1,"Actually, <span> this product </span> is headphones is realy good!!! 😍 <b>Good choice</b> https://example.com!!! 😍",positive,actually  this product  is headphones is really good  good choice  ,"['actually', 'product', 'headphones', 'really', 'good', 'good', 'choice']"
2,"Well, I think the product has terrible quality <div>very disappointing</div> <div>Customer review</div> Visit www.example.com...",negative,well i think the product has terrible quality very disappointing customer review visit ,"['well', 'think', 'product', 'terrible', 'quality', 'disappointing', 'customer', 'review', 'visit']"
3,In my opinion https://example.com this is product is awfull and stopped working 😭 https://example.com 😡!!!,negative,in my opinion  this is product is awful and stopped working   ,"['opinion', 'product', 'awful', 'stopped', 'working']"
4,"Well, I think the camera is <h1>realy good!!!</h1> 😍 <b>Good choice</b> https://example.com!!!",positive,well i think the camera is really good  good choice ,"['well', 'think', 'camera', 'really', 'good', 'good', 'choice']"
5,I think it is really headphones is awfull and stopped working 😭...,negative,i think it is really headphones is awful and stopped working ,"['think', 'really', 'headphones', 'awful', 'stopped', 'working']"
6,"Well, I think the shoes is realy bad!!! 😡 Visit www.example.com 😡!!!",negative,well i think the shoes is really bad  visit  ,"['well', 'think', 'shoes', 'really', 'bad', 'visit']"
7,"Well, I think the product was a horible purchase 😠.",negative,well i think the product was a horrible purchase ,"['well', 'think', 'product', 'horrible', 'purchase']"
8,"Actually, this product is book was a horible purchase 😠 More info: https://shop.example.com 😡!!!",negative,actually this product is book was a horrible purchase  more into  ,"['actually', 'product', 'book', 'horrible', 'purchase']"
9,I think it is really camera is awsome and works perfectly 👍 <span>Recommended</span> Visit www.example.com...,positive,i think it is really camera is some and works perfectly  recommended visit ,"['think', 'really', 'camera', 'works', 'perfectly', 'recommended', 'visit']"
10,I think it is really camera works gr8 and I luv it 😊 More info: https://shop.example.com!!!,positive,i think it is really camera works grm and i lui it  more into ,"['think', 'really', 'camera', 'works', 'grm', 'lui']"
11,"Well, I think the product is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!! 😍",positive,well i think the product is really good  recommended visit  ,"['well', 'think', 'product', 'really', 'good', 'recommended', 'visit']"
12,"Well, I think the camera is realy bad!!! 😡 <div>Customer review</div>??",negative,well i think the camera is really bad  customer review,"['well', 'think', 'camera', 'really', 'bad', 'customer', 'review']"
13,"Actually, this product is shirt is absolutly fantastic!!! https://example.com!!!",positive,actually this product is shirt is absolutely fantastic ,"['actually', 'product', 'shirt', 'absolutely', 'fantastic']"
14,I think it is really headphones is awsome and works perfectly 👍 <span>Recommended</span> More info: https://shop.example.com!!! 😍,positive,i think it is really headphones is some and works perfectly  recommended more into  ,"['think', 'really', 'headphones', 'works', 'perfectly', 'recommended']"
15,I think it is really watch is realy bad!!! 😡 <b>Good choice</b> More info: https://shop.example.com.,negative,i think it is really watch is really bad  good choice more into ,"['think', 'really', 'watch', 'really', 'bad', 'good', 'choice']"
16,I think it is really book works gr8 and I luv it 😊 https://example.com 😡!!!,positive,i think it is really book works grm and i lui it   ,"['think', 'really', 'book', 'works', 'grm', 'lui']"
17,I think it is really shoes is broken and useless!!! <span>Recommended</span>!!!,negative,i think it is really shoes is broken and useless recommended,"['think', 'really', 'shoes', 'broken', 'useless', 'recommended']"
18,"Actually, this product is shoes works as expected, but could be better. <b>Good choice</b> Visit www.example.com!!! 😍",neutral,actually this product is shoes works as expected but could be better good choice visit  ,"['actually', 'product', 'shoes', 'works', 'expected', 'could', 'better', 'good', 'choice', 'visit']"
