id,review,sentiment
1,"Actually, <span>this product</span> is headphones is realy good!!! 😍 <b>Good choice</b> https://example.com!!! 😍",positive
2,"Well, I think the product has terrible quality <div>very disappointing</div> <div>Customer review</div> Visit www.example.com...",negative
3,In my opinion https://example.com this is product is awfull and stopped working 😭 https://example.com 😡!!!,negative
4,"Well, I think the camera is <h1>realy good!!!</h1> 😍 <b>Good choice</b> https://example.com!!!",positive
5,I think it is really headphones is awfull and stopped working 😭...,negative
6,"Well, I think the shoes is realy bad!!! 😡 Visit www.example.com 😡!!!",negative
7,"Well, I think the product was a horible purchase 😠.",negative
8,"Actually, this product is book was a horible purchase 😠 More info: https://shop.example.com 😡!!!",negative
9,I think it is really camera is awsome and works perfectly 👍 <span>Recommended</span> Visit www.example.com...,positive
10,I think it is really camera works gr8 and I luv it 😊 More info: https://shop.example.com!!!,positive
11,"Well, I think the product is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!! 😍",positive
12,"Well, I think the camera is realy bad!!! 😡 <div>Customer review</div>??",negative
13,"Actually, this product is shirt is absolutly fantastic!!! https://example.com!!!",positive
14,I think it is really headphones is awsome and works perfectly 👍 <span>Recommended</span> More info: https://shop.example.com!!! 😍,positive
15,I think it is really watch is realy bad!!! 😡 <b>Good choice</b> More info: https://shop.example.com.,negative
16,I think it is really book works gr8 and I luv it 😊 https://example.com 😡!!!,positive
17,I think it is really shoes is broken and useless!!! <span>Recommended</span>!!!,negative
18,"Actually, this product is shoes works as expected, but could be better. <b>Good choice</b> Visit www.example.com!!! 😍",neutral
19,"Well, I think the laptop is awsome and works perfectly 👍 <b>Good choice</b> https://example.com 😡!!!",positive
20,In my opinion this is headphones is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com??,positive
21,"To be honest, the service has terrible quality <div>very disappointing</div> <div>Customer review</div>!!! 😍",negative
22,"Actually, this product is product is awsome and works perfectly 👍 <span>Recommended</span>.",positive
23,"Well, I think the shirt is broken and useless!!! <b>Good choice</b> Visit www.example.com 😡!!!",negative
24,"To be honest, the book is absolutly fantastic!!! <div>Customer review</div> More info: https://shop.example.com 😡!!!",positive
25,In my opinion this is watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> https://example.com...,positive
26,"In my opinion this is shoes is average, nothing special. <span>Recommended</span>!!!",neutral
27,In my opinion this is book is okay and works fine. <div>Customer review</div> https://example.com??,neutral
28,I think it is really watch is awsome and works perfectly 👍 <span>Recommended</span> https://example.com...,positive
29,"To be honest, the phone is awfull and stopped working 😭.",negative
